Rank,Team,off_eff,def_eff,possessions,Elo
53,UCLA Bruins,117.2110964248499,106.74242820549689,66.62661290322582,1598.334140950287
54,Wichita State Shockers,112.87019749460597,102.22710743682907,68.83166666666666,1596.8431093303411
55,UC Irvine Anteaters,103.44700073221537,96.62617444880964,71.595,1596.566642587563
56,Wright State Raiders,115.73269638812941,108.66784803618998,69.14921875,1595.803696360247
57,Merrimack Warriors,106.38161936601671,103.26817149284558,64.53455882352942,1595.4586427264128
58,George Mason Patriots,112.8573863506312,104.4729219524927,64.98416666666667,1595.436010272697
59,Dayton Flyers,109.34543028155612,101.16698327621263,69.01290322580645,1595.1508132794172
60,Saint Joseph's Hawks,105.32995210528956,102.47992007150683,68.69913793103449,1594.0106828210835
61,St. Thomas-Minnesota Tommies,117.61232684366844,104.98374369868651,69.52250000000001,1593.6885410741838
62,New Mexico Lobos,114.06245881145715,101.58436087195669,70.65333333333334,1593.3349007990078
63,Hawai'i Rainbow Warriors,108.59907045496503,97.16454303400928,72.94642857142857,1591.364547473003
64,Sam Houston Bearkats,114.22685418924164,107.5290122756574,70.16206896551725,1590.9967437528849
65,Winthrop Eagles,113.34246512362378,108.07087314124728,71.92166666666667,1590.906556524739
66,Long Island University Sharks,108.90072444168752,103.23903889957256,68.1514705882353,1589.3933122678216
67,Tennessee Volunteers,117.33164279109326,101.93400635262961,68.36854838709678,1589.313507996319
68,Texas A&M Aggies,118.20356968161526,107.57230097552137,74.88951612903226,1588.2449635906478
69,Charleston Cougars,108.98752632979118,107.70321106686566,68.95806451612903,1585.8946938548345
70,San Diego State Aztecs,110.02658700653362,100.89640553215139,70.88879310344828,1585.603419358321
71,Ohio State Buckeyes,118.95185770965816,107.80866392072542,67.46612903225805,1585.5418103600111
72,UC San Diego Tritons,107.16327369989163,100.96545304678432,69.59274193548387,1585.4847704440874
73,Siena Saints,109.72949413625031,101.83451748806391,64.49705882352941,1584.526259850478
74,Central Arkansas Bears,112.2066111862517,107.25419070857718,69.8551724137931,1581.507669737456
75,Austin Peay Governors,112.31628178440096,105.21227011383442,69.97592592592592,1581.1810803969406
76,Northern Iowa Panthers,108.29427995269494,97.05805906980511,63.795588235294126,1580.6862185028635
77,UCF Knights,114.74799543993609,109.93409005318766,71.17177419354839,1580.4002549391291
78,Troy Trojans,112.45580891152159,106.17961854012489,69.6975806451613,1579.920218620568
79,Robert Morris Colonials,114.60874409941528,108.11750112914878,67.16451612903225,1579.8411201524375
80,Colorado State Rams,117.92242537499077,111.80382391727525,64.0508064516129,1577.793183198521
81,Kentucky Wildcats,116.71942055803382,106.36698337229089,69.80625,1575.70574775029
82,Bradley Braves,110.23065359574909,105.53521989296328,70.0828125,1574.0908837856737
83,Iowa Hawkeyes,118.18246734311019,103.2179303960228,63.7859375,1573.8397079983854
84,Howard Bison,108.43127880965245,97.89845694825907,69.36666666666667,1573.5301406036017
85,Grand Canyon Lopes,108.81364599183956,98.75429508996031,69.34112903225805,1572.9905112208437
86,East Tennessee State Buccaneers,115.14203966100526,104.57564339851004,66.80546875,1572.2309511734038
87,Boise State Broncos,113.47478973106787,107.02002125116708,68.40689655172413,1571.7327865242803
88,UAB Blazers,109.57034833292693,103.69455744273665,71.31333333333333,1571.3515766114162
89,Nevada Wolf Pack,113.00482685036215,105.20344612285304,67.5390625,1569.7388411591623
90,Vermont Catamounts,111.2444983958638,104.97578818366416,65.20322580645161,1569.208400866131
91,NC State Wolfpack,119.37452900478068,108.70325169886583,70.4046875,1568.761902592194
92,Missouri Tigers,115.24949210768403,110.18729590819716,69.21693548387097,1568.6054191801206
93,Furman Paladins,110.66451688195073,106.73042563186232,67.4625,1568.3144211371375
94,California Golden Bears,110.4913310120727,105.06679956476125,69.94193548387096,1567.7217701303916
95,Florida State Seminoles,112.07398956841688,108.22095971859484,71.94296875,1567.0606501879229
96,Morehead State Eagles,108.2761195329602,112.52429477073484,67.27307692307691,1565.2720474395348
97,Stanford Cardinal,111.66453409494555,107.1390557576756,67.9140625,1563.5532708608243
98,Seton Hall Pirates,105.7553545887196,98.08480861386307,66.48387096774194,1561.813134021434
99,Southeast Missouri State Redhawks,103.39399736704229,103.81997599090995,69.969,1561.4202687267918
100,Fairfield Stags,108.65947308562795,106.6520227185452,67.12954545454545,1559.095542928825
101,South Alabama Jaguars,109.55102789904524,105.12950588667657,66.7675,1558.525253390647
102,Illinois State Redbirds,109.61864189743247,102.46903210208446,68.04274193548386,1556.8730376344934
103,UT Martin Skyhawks,101.64150957587808,98.97977326989486,66.10480769230769,1555.9160805806046
104,Davidson Wildcats,108.62492917524072,104.7062894439014,64.60775862068965,1554.5394734552603
105,Harvard Crimson,109.02960045986545,104.05894404017245,64.43240740740741,1553.757124906021
106,Arkansas State Red Wolves,111.172736090736,106.71235068642335,73.5775,1553.272655053073
107,Portland State Vikings,106.14847797862375,102.02192954686879,69.58660714285715,1552.8830381647497
108,Idaho Vandals,110.96973270022421,106.92122474814059,69.21854838709677,1550.4524650164274
109,Pennsylvania Quakers,108.14945735644753,105.60124882260457,68.90096153846153,1549.5460175601872
110,Virginia Tech Hokies,112.68203887006555,107.72505614073049,69.93671875,1549.4170544611702
111,William & Mary Tribe,111.48393284158448,106.88920173490298,73.24916666666667,1549.3603086971957
112,Oklahoma Sooners,120.11626151263701,112.80418071460346,68.47734375,1549.118185871184
113,Coastal Carolina Chanticleers,102.9333743775083,105.00985670876791,69.74032258064516,1549.112454742719
114,UT Rio Grande Valley Vaqueros,109.91872494161345,104.48176472045992,67.11129032258064,1548.836060435316
115,SMU Mustangs,118.62446884175935,109.10680265164115,70.91363636363637,1548.4647386023971
116,Northern Colorado Bears,113.81614033234871,109.45075421406437,71.11465517241379,1548.4281563692412
